,From,To,Day,Month,Distance,Occupancy,Fuel_Cost,Ground_Cost,Price
0,2,1,1,3,1717.93,92,8374.90875,1400,3393.959268
1,7,2,7,1,1561.76,98,6090.864,1925,2635.47
2,1,3,6,9,2079.0,81,8108.1,1770,2153.25
3,7,2,5,12,1561.76,84,6090.864,1925,1405.584
4,2,1,5,1,1717.93,80,6699.927,1400,1885.532927
5,7,2,2,6,1561.76,83,6090.864,1925,1634.4
6,2,1,3,12,1717.93,86,6699.927,1400,2016.700435
7,2,1,5,1,1717.93,86,6699.927,1400,2186.456364
8,2,1,3,12,1717.93,81,6699.927,1400,1581.276477
9,1,3,2,5,2079.0,88,8108.1,1770,2002.0
10,1,3,1,1,2079.0,96,8108.1,1770,3182.142857
11,7,2,5,4,1561.76,85,6090.864,1925,1987.694545
12,5,7,2,6,1363.71,79,5318.469,1850,1694.896714
13,7,2,5,9,1561.76,88,6090.864,1925,1765.467826
14,7,2,4,4,1561.76,80,6090.864,1925,1428.439024
15,1,3,1,3,2079.0,99,8108.1,1770,4158.0
16,1,3,2,4,2079.0,87,8108.1,1770,2631.234375
17,1,3,6,12,2079.0,78,8108.1,1770,2079.0
18,1,3,6,12,2079.0,81,8108.1,1770,2153.25
19,1,3,2,5,2079.0,83,8108.1,1770,2420.328358
20,1,3,2,6,2079.0,89,8108.1,1770,2103.174419
21,2,1,5,3,1717.93,88,6699.927,1400,1576.453412
22,2,1,2,3,1717.93,87,6699.927,1400,1789.510417
23,2,1,7,1,1717.93,93,6699.927,1400,3116.245116
24,7,2,4,6,1561.76,76,6090.864,1925,1899.437838
25,1,3,6,9,2079.0,81,8108.1,1770,2079.0
26,1,3,1,1,2079.0,99,8108.1,1770,4158.0
27,1,3,4,5,2079.0,81,8108.1,1770,2135.958904
28,2,1,3,6,1717.93,75,6699.927,1400,2007.97013
29,5,7,7,6,1363.71,99,5318.469,1850,2761.51275
30,5,7,3,6,1363.71,88,5318.469,1850,1540.815195
31,7,2,7,1,1561.76,96,6090.864,1925,3019.402667
32,2,1,3,6,1717.93,75,6699.927,1400,2197.939853
33,1,3,7,6,2079.0,90,8108.1,1770,3981.06383
34,1,3,7,5,2079.0,93,8108.1,1770,3543.75
35,1,3,5,6,2079.0,80,8108.1,1770,2103.174419
36,7,2,3,5,1561.76,82,6090.864,1925,1598.507294
37,7,2,7,5,1561.76,100,6090.864,1925,3159.84
38,2,1,2,6,1717.93,76,6699.927,1400,2186.456364
39,1,3,4,3,2079.0,87,8108.1,1770,2150.689655
40,1,3,3,5,2079.0,85,8108.1,1770,1863.931034
41,2,1,6,3,1717.93,86,6699.927,1400,1850.078462
42,1,3,7,5,2079.0,93,8108.1,1770,3450.255319
43,2,1,4,6,1717.93,87,6699.927,1400,2273.730882
44,1,3,5,3,2079.0,81,8108.1,1770,2233.0
45,2,1,1,3,1717.93,94,6699.927,1400,2679.9708
46,2,1,2,5,1717.93,84,6699.927,1400,1786.6472
47,5,7,3,3,1363.71,85,5318.469,1850,1396.97122
48,7,2,4,5,1561.76,85,6090.864,1925,2231.085714
49,1,3,5,6,2079.0,79,8108.1,1770,2440.565217
50,1,3,3,9,2079.0,80,8108.1,1770,2461.973684
51,7,2,7,1,1561.76,96,6090.864,1925,2537.86
52,2,1,1,3,1717.93,96,6699.927,1400,3736.49775
53,2,1,3,6,1717.93,88,6699.927,1400,1916.152692
54,2,1,2,3,1717.93,79,6699.927,1400,1840.639286
55,7,2,1,3,1561.76,95,6090.864,1925,2928.3
56,2,1,5,1,1717.93,88,6699.927,1400,2112.209016
57,5,7,2,6,1363.71,87,5318.469,1850,1284.424535
58,1,3,4,6,2079.0,84,8108.1,1770,2476.455882
59,4,6,2,6,623.48,83,2431.572,1950,668.0142857
60,7,2,5,6,1561.76,89,6090.864,1925,2007.977143
61,1,3,2,3,2079.0,88,8108.1,1770,1801.8
62,1,3,4,3,2079.0,83,8108.1,1770,1981.164706
63,1,3,4,5,2079.0,83,8108.1,1770,2359.945946
64,5,7,6,5,1363.71,83,5318.469,1850,1534.17375
65,1,3,2,6,2079.0,90,8108.1,1770,2658.393443
66,2,1,4,4,1717.93,79,6699.927,1400,1660.665667
67,4,6,4,6,623.48,85,2431.572,1950,558.982069
68,1,3,3,5,2079.0,83,8108.1,1770,2436.328125
69,5,7,3,12,1363.71,88,5318.469,1850,1660.168696
70,4,6,1,1,623.48,95,2431.572,1950,1091.09
71,2,1,3,9,1717.93,80,6699.927,1400,1717.93
72,1,3,2,6,2079.0,82,8108.1,1770,2398.846154
73,1,3,2,6,2079.0,82,8108.1,1770,1822.044944
74,1,3,5,3,2079.0,88,8108.1,1770,2350.173913
75,2,1,3,9,1717.93,86,6699.927,1400,1717.93
