From,To,Day,Month,Holiday,Distance,Occupancy
2,1,1,3,1,1717.93,92
7,2,7,1,1,1561.76,98
1,3,6,9,0,2079,81
7,2,5,12,0,1561.76,84
2,1,5,1,0,1717.93,80
7,2,2,6,0,1561.76,83
2,1,3,12,0,1717.93,86
2,1,5,1,0,1717.93,86
2,1,3,12,0,1717.93,81
1,3,2,5,0,2079,88
1,3,1,1,1,2079,96
7,2,5,4,0,1561.76,85
5,7,2,6,0,1363.71,79
7,2,5,9,0,1561.76,88
7,2,4,4,0,1561.76,80
1,3,1,3,1,2079,99
1,3,2,4,0,2079,87
1,3,6,12,0,2079,78
1,3,6,12,0,2079,81
1,3,2,5,0,2079,83
1,3,2,6,0,2079,89
2,1,5,3,0,1717.93,88
2,1,2,3,0,1717.93,87
2,1,7,1,1,1717.93,93
7,2,4,6,0,1561.76,76
1,3,6,9,0,2079,81
1,3,1,1,1,2079,99
1,3,4,5,0,2079,81
2,1,3,6,0,1717.93,75
5,7,7,6,1,1363.71,99
5,7,3,6,0,1363.71,88
7,2,7,1,1,1561.76,96
2,1,3,6,0,1717.93,75
1,3,7,6,1,2079,90
1,3,7,5,1,2079,93
1,3,5,6,0,2079,80
7,2,3,5,0,1561.76,82
7,2,7,5,1,1561.76,100
2,1,2,6,0,1717.93,76
1,3,4,3,0,2079,87
1,3,3,5,0,2079,85
2,1,6,3,0,1717.93,86
1,3,7,5,1,2079,93
2,1,4,6,0,1717.93,87
1,3,5,3,0,2079,81
2,1,1,3,1,1717.93,94
2,1,2,5,0,1717.93,84
5,7,3,3,0,1363.71,85
7,2,4,5,0,1561.76,85
1,3,5,6,0,2079,79
1,3,3,9,0,2079,80
7,2,7,1,1,1561.76,96
2,1,1,3,1,1717.93,96
2,1,3,6,0,1717.93,88
2,1,2,3,0,1717.93,79
7,2,1,3,1,1561.76,95
2,1,5,1,0,1717.93,88
5,7,2,6,0,1363.71,87
1,3,4,6,0,2079,84
4,6,2,6,0,623.48,83
7,2,5,6,0,1561.76,89
1,3,2,3,0,2079,88
1,3,4,3,0,2079,83
1,3,4,5,0,2079,83
5,7,6,5,0,1363.71,83
1,3,2,6,0,2079,90
2,1,4,4,0,1717.93,79
4,6,4,6,0,623.48,85
1,3,3,5,0,2079,83
5,7,3,12,0,1363.71,88
4,6,1,1,1,623.48,95
2,1,3,9,0,1717.93,80
